Name,Group,Electro-negativity,Electrical Conductivity S/m,Thermal Conductivity W/mK,Specific Heat J/kgK,Molecular Weight,AtomicRadius A,Density Solid g/cc,Ionization Potential ev
La,7,1.1,1.26E+06,1.35E+01,1.95E+02,57,2.74,6.15,5.58
Ce,7,1.12,1.15E+06,1.14E+01,1.92E+02,58,2.7,6.77,5.54
Pr,7,1.13,1.48E+06,1.25E+01,1.93E+02,59,2.67,6.77,5.46
Nd,7,1.14,1.57E+06,1.65E+01,1.90E+02,60,2.64,7.01,5.53
Sm,7,1.17,9.56E+05,1.33E+01,1.97E+02,62,2.59,7.52,5.64
Eu,7,1.2,1.12E+06,1.39E+01,1.82E+02,63,2.56,5.24,5.67
Gd,7,1.2,7.36E+05,1.06E+01,2.36E+02,64,2.54,7.895,6.15
Tb,7,1.2,8.89E+05,1.11E+01,1.82E+02,65,2.51,8.23,5.86
Dy,7,1.22,1.08E+06,1.07E+01,1.70E+02,66,2.49,8.55,5.94
Ho,7,1.23,1.24E+06,1.62E+01,1.65E+02,67,2.47,8.8,6.018
Er,7,1.24,1.17E+06,1.43E+01,1.68E+02,68,2.45,9.07,6.101
Tm,7,1.25,1.50E+06,1.68E+01,1.60E+02,69,1.72,9.32,6.184
Yb,7,1.1,3.51E+06,3.49E+01,1.55E+02,70,2.4,6.9,6.254
Lu,7,1.27,1.85E+06,1.64E+01,1.54E+02,71,2.25,9.84,5.4259
Th,7,1.3,6.53E+06,5.40E+01,1.13E+02,90,2.42,11.724,6.08
U,7,1.38,3.80E+06,2.76E+01,1.16E+02,92,1.92,18.95,6.05
Sc,4,1.36,1.77E+06,1.58E+01,5.68E+02,21,2.09,2.99,6.54
Ti,4,1.54,2.34E+06,2.19E+01,5.23E+02,22,2.02,4.54,6.82
V,4,1.63,4.89E+06,3.07E+01,4.89E+02,23,1.24,6.11,6.74
Cr,4,1.66,7.74E+06,9.37E+01,4.49E+02,24,1.85,7.19,6.766
Mn,4,1.55,6.95E+05,7.82E+00,4.79E+02,25,1.79,7.43,7.435
Fe,4,1.83,9.93E+06,8.02E+01,4.49E+02,26,1.72,7.874,7.87
Co,4,1.88,1.72E+07,1.00E+02,4.21E+02,27,1.67,8.9,7.86
Ni,4,1.91,1.43E+07,9.07E+01,4.44E+02,28,1.62,8.9,7.635
Cu,4,1.9,5.96E+07,4.01E+02,3.85E+02,29,1.57,8.96,7.726
Y,4,1.22,1.66E+06,1.72E+01,2.98E+02,39,2.27,4.47,6.38
Zr,4,1.33,2.36E+06,2.27E+01,2.78E+02,40,2.16,6.51,6.84
Nb,4,1.6,6.93E+06,5.37E+01,2.65E+02,41,2.08,8.57,6.88
Mo,4,2.16,1.87E+07,1.38E+02,2.51E+02,42,2.01,10.22,7.099
Ru,4,2.2,1.37E+07,1.17E+02,2.38E+02,44,1.89,12.37,7.37
Rh,4,2.28,2.11E+07,1.50E+02,2.43E+02,45,1.83,12.41,7.46
Pd,4,2.2,9.50E+06,7.18E+01,2.46E+02,46,1.79,12.02,8.34
Ag,4,1.93,6.30E+07,4.29E+02,2.35E+02,47,1.75,10.5,7.576
Hf,4,1.3,3.12E+06,2.30E+01,1.44E+02,72,2.16,13.31,6.65
Ta,4,1.5,7.61E+06,5.75E+01,1.40E+02,73,2.09,16.65,7.89
W,4,2.36,1.89E+07,1.74E+02,1.32E+02,74,1.56,19.35,7.98
Re,4,1.9,5.42E+06,4.79E+01,1.37E+02,75,1.97,21.04,7.88
Os,4,2.2,1.09E+07,8.76E+01,1.30E+02,76,1.92,22.6,8.7
Ir,4,2.2,1.97E+07,1.47E+02,1.31E+02,77,1.87,22.4,9.1
Pt,4,2.28,9.66E+06,7.16E+01,1.33E+02,78,1.83,21.45,9
Au,4,2.54,4.52E+07,3.17E+02,1.29E+02,79,1.79,19.32,9.225